run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-confirm-a1,250,LINK,warmup,0,completed,250,7660417,success,,none
create-confirm-a1,250,LINK,warmup,1,completed,250,951334,success,,none
create-confirm-a1,250,LINK,warmup,2,completed,250,754250,success,,none
create-confirm-a1,250,LINK,warmup,3,completed,250,681625,success,,none
create-confirm-a1,250,LINK,warmup,4,completed,250,671541,success,,none
create-confirm-a1,250,LINK,measure,0,completed,250,665834,success,,none
create-confirm-a1,250,LINK,measure,1,completed,250,677875,success,,none
create-confirm-a1,250,LINK,measure,2,completed,250,659875,success,,none
create-confirm-a1,250,LINK,measure,3,completed,250,665167,success,,none
create-confirm-a1,250,LINK,measure,4,completed,250,637375,success,,none
create-confirm-a1,250,LINK,measure,5,completed,250,617541,success,,none
create-confirm-a1,250,LINK,measure,6,completed,250,932167,success,,none
create-confirm-a1,250,LINK,measure,7,completed,250,713750,success,,none
create-confirm-a1,250,LINK,measure,8,completed,250,707625,success,,none
create-confirm-a1,250,LINK,measure,9,completed,250,808000,success,,none
create-confirm-a1,250,LINK,measure,10,completed,250,772792,success,,none
create-confirm-a1,250,LINK,measure,11,completed,250,923459,success,,none
create-confirm-a1,250,LINK,measure,12,completed,250,850417,success,,none
create-confirm-a1,250,LINK,measure,13,completed,250,607916,success,,none
create-confirm-a1,250,LINK,measure,14,completed,250,584625,success,,none
create-confirm-a1,250,LINK,measure,15,completed,250,778500,success,,none
create-confirm-a1,250,LINK,measure,16,completed,250,816750,success,,none
create-confirm-a1,250,LINK,measure,17,completed,250,670333,success,,none
create-confirm-a1,250,LINK,measure,18,completed,250,640209,success,,none
create-confirm-a1,250,LINK,measure,19,completed,250,600084,success,,none
create-confirm-a1,250,LIST,warmup,0,completed,250,4138584,success,,none
create-confirm-a1,250,LIST,warmup,1,completed,250,4497541,success,,none
create-confirm-a1,250,LIST,warmup,2,completed,250,3135917,success,,none
create-confirm-a1,250,LIST,warmup,3,completed,250,3384000,success,,none
create-confirm-a1,250,LIST,warmup,4,completed,250,2679708,success,,none
create-confirm-a1,250,LIST,measure,0,completed,250,2783459,success,,none
create-confirm-a1,250,LIST,measure,1,completed,250,3045125,success,,none
create-confirm-a1,250,LIST,measure,2,completed,250,6799542,success,,none
create-confirm-a1,250,LIST,measure,3,completed,250,3885334,success,,none
create-confirm-a1,250,LIST,measure,4,completed,250,5194667,success,,none
create-confirm-a1,250,LIST,measure,5,completed,250,2814416,success,,none
create-confirm-a1,250,LIST,measure,6,completed,250,2628208,success,,none
create-confirm-a1,250,LIST,measure,7,completed,250,2420916,success,,none
create-confirm-a1,250,LIST,measure,8,completed,250,5261875,success,,none
create-confirm-a1,250,LIST,measure,9,completed,250,2684166,success,,none
create-confirm-a1,250,LIST,measure,10,completed,250,2437500,success,,none
create-confirm-a1,250,LIST,measure,11,completed,250,2335417,success,,none
create-confirm-a1,250,LIST,measure,12,completed,250,2334000,success,,none
create-confirm-a1,250,LIST,measure,13,completed,250,2515791,success,,none
create-confirm-a1,250,LIST,measure,14,completed,250,2746417,success,,none
create-confirm-a1,250,LIST,measure,15,completed,250,2587041,success,,none
create-confirm-a1,250,LIST,measure,16,completed,250,3112208,success,,none
create-confirm-a1,250,LIST,measure,17,completed,250,2934959,success,,none
create-confirm-a1,250,LIST,measure,18,completed,250,2625875,success,,none
create-confirm-a1,250,LIST,measure,19,completed,250,2548708,success,,none
create-confirm-a1,250,SAVE,warmup,0,completed,250,18550250,success,,none
create-confirm-a1,250,SAVE,warmup,1,completed,250,7263084,success,,none
create-confirm-a1,250,SAVE,warmup,2,completed,250,7336375,success,,none
create-confirm-a1,250,SAVE,warmup,3,completed,250,6918083,success,,none
create-confirm-a1,250,SAVE,warmup,4,completed,250,12501000,success,,none
create-confirm-a1,250,SAVE,measure,0,completed,250,16412375,success,,none
create-confirm-a1,250,SAVE,measure,1,completed,250,6696375,success,,none
create-confirm-a1,250,SAVE,measure,2,completed,250,5612750,success,,none
