run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-confirm-b2,250,LINK,warmup,0,completed,250,7562125,success,,none
create-confirm-b2,250,LINK,warmup,1,completed,250,1143000,success,,none
create-confirm-b2,250,LINK,warmup,2,completed,250,780959,success,,none
create-confirm-b2,250,LINK,warmup,3,completed,250,723167,success,,none
create-confirm-b2,250,LINK,warmup,4,completed,250,683334,success,,none
create-confirm-b2,250,LINK,measure,0,completed,250,992875,success,,none
create-confirm-b2,250,LINK,measure,1,completed,250,879750,success,,none
create-confirm-b2,250,LINK,measure,2,completed,250,729500,success,,none
create-confirm-b2,250,LINK,measure,3,completed,250,676292,success,,none
create-confirm-b2,250,LINK,measure,4,completed,250,636750,success,,none
create-confirm-b2,250,LINK,measure,5,completed,250,746542,success,,none
create-confirm-b2,250,LINK,measure,6,completed,250,901209,success,,none
create-confirm-b2,250,LINK,measure,7,completed,250,657541,success,,none
create-confirm-b2,250,LINK,measure,8,completed,250,640125,success,,none
create-confirm-b2,250,LINK,measure,9,completed,250,641541,success,,none
create-confirm-b2,250,LINK,measure,10,completed,250,642916,success,,none
create-confirm-b2,250,LINK,measure,11,completed,250,616542,success,,none
create-confirm-b2,250,LINK,measure,12,completed,250,625583,success,,none
create-confirm-b2,250,LINK,measure,13,completed,250,625625,success,,none
create-confirm-b2,250,LINK,measure,14,completed,250,610000,success,,none
create-confirm-b2,250,LINK,measure,15,completed,250,614042,success,,none
create-confirm-b2,250,LINK,measure,16,completed,250,1002834,success,,none
create-confirm-b2,250,LINK,measure,17,completed,250,667916,success,,none
create-confirm-b2,250,LINK,measure,18,completed,250,738833,success,,none
create-confirm-b2,250,LINK,measure,19,completed,250,565166,success,,none
create-confirm-b2,250,LIST,warmup,0,completed,250,4357458,success,,none
create-confirm-b2,250,LIST,warmup,1,completed,250,3346000,success,,none
create-confirm-b2,250,LIST,warmup,2,completed,250,3205875,success,,none
create-confirm-b2,250,LIST,warmup,3,completed,250,3533917,success,,none
create-confirm-b2,250,LIST,warmup,4,completed,250,2949875,success,,none
create-confirm-b2,250,LIST,measure,0,completed,250,3230459,success,,none
create-confirm-b2,250,LIST,measure,1,completed,250,3551459,success,,none
create-confirm-b2,250,LIST,measure,2,completed,250,3270333,success,,none
create-confirm-b2,250,LIST,measure,3,completed,250,3444875,success,,none
create-confirm-b2,250,LIST,measure,4,completed,250,3106542,success,,none
create-confirm-b2,250,LIST,measure,5,completed,250,3284500,success,,none
create-confirm-b2,250,LIST,measure,6,completed,250,3288833,success,,none
create-confirm-b2,250,LIST,measure,7,completed,250,3013417,success,,none
create-confirm-b2,250,LIST,measure,8,completed,250,3049792,success,,none
create-confirm-b2,250,LIST,measure,9,completed,250,3431000,success,,none
create-confirm-b2,250,LIST,measure,10,completed,250,3170709,success,,none
create-confirm-b2,250,LIST,measure,11,completed,250,3334916,success,,none
create-confirm-b2,250,LIST,measure,12,completed,250,3321833,success,,none
create-confirm-b2,250,LIST,measure,13,completed,250,2881250,success,,none
create-confirm-b2,250,LIST,measure,14,completed,250,3133542,success,,none
create-confirm-b2,250,LIST,measure,15,completed,250,3484750,success,,none
create-confirm-b2,250,LIST,measure,16,completed,250,3863292,success,,none
create-confirm-b2,250,LIST,measure,17,completed,250,4853417,success,,none
create-confirm-b2,250,LIST,measure,18,completed,250,7831208,success,,none
create-confirm-b2,250,LIST,measure,19,completed,250,3506416,success,,none
create-confirm-b2,250,SAVE,warmup,0,completed,250,19286125,success,,none
create-confirm-b2,250,SAVE,warmup,1,completed,250,7848625,success,,none
create-confirm-b2,250,SAVE,warmup,2,completed,250,8757083,success,,none
create-confirm-b2,250,SAVE,warmup,3,completed,250,8356250,success,,none
create-confirm-b2,250,SAVE,warmup,4,completed,250,18319250,success,,none
create-confirm-b2,250,SAVE,measure,0,completed,250,17246167,success,,none
create-confirm-b2,250,SAVE,measure,1,completed,250,9203417,success,,none
create-confirm-b2,250,SAVE,measure,2,completed,250,8619125,success,,none
create-confirm-b2,250,SAVE,measure,3,completed,250,7214958,success,,none
create-confirm-b2,250,SAVE,measure,4,completed,250,7334917,success,,none
create-confirm-b2,250,SAVE,measure,5,completed,250,7539916,success,,none
create-confirm-b2,250,SAVE,measure,6,completed,250,7651875,success,,none
create-confirm-b2,250,SAVE,measure,7,completed,250,7331000,success,,none
create-confirm-b2,250,SAVE,measure,8,completed,250,7644125,success,,none
create-confirm-b2,250,SAVE,measure,9,completed,250,7948500,success,,none
create-confirm-b2,250,SAVE,measure,10,completed,250,8547834,success,,none
create-confirm-b2,250,SAVE,measure,11,completed,250,8056000,success,,none
create-confirm-b2,250,SAVE,measure,12,completed,250,8601625,success,,none
create-confirm-b2,250,SAVE,measure,13,completed,250,7778083,success,,none
create-confirm-b2,250,SAVE,measure,14,completed,250,8194250,success,,none
create-confirm-b2,250,SAVE,measure,15,completed,250,7022916,success,,none
create-confirm-b2,250,SAVE,measure,16,completed,250,7197334,success,,none
create-confirm-b2,250,SAVE,measure,17,completed,250,7509167,success,,none
create-confirm-b2,250,SAVE,measure,18,completed,250,7466458,success,,none
create-confirm-b2,250,SAVE,measure,19,completed,250,7166500,success,,none
create-confirm-b2,250,CREATE,warmup,0,completed,250,215235167,success,,none
create-confirm-b2,250,CREATE,warmup,1,completed,251,196882208,success,,none
create-confirm-b2,250,CREATE,measure,0,completed,252,173933000,success,,none
create-confirm-b2,250,CREATE,measure,1,completed,253,168239042,success,,none
create-confirm-b2,250,CREATE,measure,2,completed,254,163927542,success,,none
create-confirm-b2,250,CREATE,measure,3,completed,255,177427458,success,,none
create-confirm-b2,250,CREATE,measure,4,completed,256,155361917,success,,none
create-confirm-b2,1000,LINK,warmup,0,completed,1000,2251125,success,,none
create-confirm-b2,1000,LINK,warmup,1,completed,1000,1607583,success,,none
create-confirm-b2,1000,LINK,warmup,2,completed,1000,1379000,success,,none
create-confirm-b2,1000,LINK,warmup,3,completed,1000,1226042,success,,none
create-confirm-b2,1000,LINK,warmup,4,completed,1000,1138625,success,,none
create-confirm-b2,1000,LINK,measure,0,completed,1000,1707250,success,,none
create-confirm-b2,1000,LINK,measure,1,completed,1000,1313041,success,,none
create-confirm-b2,1000,LINK,measure,2,completed,1000,1219250,success,,none
create-confirm-b2,1000,LINK,measure,3,completed,1000,1213042,success,,none
create-confirm-b2,1000,LINK,measure,4,completed,1000,1579292,success,,none
create-confirm-b2,1000,LINK,measure,5,completed,1000,1481542,success,,none
create-confirm-b2,1000,LINK,measure,6,completed,1000,989292,success,,none
create-confirm-b2,1000,LINK,measure,7,completed,1000,801417,success,,none
