run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-confirm-r2-a1,250,LINK,warmup,0,completed,250,7467416,success,,none
create-confirm-r2-a1,250,LINK,warmup,1,completed,250,868875,success,,none
create-confirm-r2-a1,250,LINK,warmup,2,completed,250,873625,success,,none
create-confirm-r2-a1,250,LINK,warmup,3,completed,250,707083,success,,none
create-confirm-r2-a1,250,LINK,warmup,4,completed,250,698916,success,,none
create-confirm-r2-a1,250,LINK,measure,0,completed,250,676583,success,,none
create-confirm-r2-a1,250,LINK,measure,1,completed,250,670667,success,,none
create-confirm-r2-a1,250,LINK,measure,2,completed,250,751500,success,,none
create-confirm-r2-a1,250,LINK,measure,3,completed,250,869708,success,,none
create-confirm-r2-a1,250,LINK,measure,4,completed,250,749708,success,,none
create-confirm-r2-a1,250,LINK,measure,5,completed,250,755833,success,,none
create-confirm-r2-a1,250,LINK,measure,6,completed,250,791625,success,,none
create-confirm-r2-a1,250,LINK,measure,7,completed,250,663334,success,,none
create-confirm-r2-a1,250,LINK,measure,8,completed,250,628083,success,,none
create-confirm-r2-a1,250,LINK,measure,9,completed,250,609083,success,,none
create-confirm-r2-a1,250,LINK,measure,10,completed,250,597250,success,,none
create-confirm-r2-a1,250,LINK,measure,11,completed,250,600750,success,,none
create-confirm-r2-a1,250,LINK,measure,12,completed,250,597417,success,,none
create-confirm-r2-a1,250,LINK,measure,13,completed,250,628084,success,,none
create-confirm-r2-a1,250,LINK,measure,14,completed,250,781708,success,,none
create-confirm-r2-a1,250,LINK,measure,15,completed,250,695458,success,,none
create-confirm-r2-a1,250,LINK,measure,16,completed,250,580042,success,,none
create-confirm-r2-a1,250,LINK,measure,17,completed,250,532916,success,,none
create-confirm-r2-a1,250,LINK,measure,18,completed,250,527750,success,,none
create-confirm-r2-a1,250,LINK,measure,19,completed,250,517583,success,,none
create-confirm-r2-a1,250,LIST,warmup,0,completed,250,5112917,success,,none
create-confirm-r2-a1,250,LIST,warmup,1,completed,250,3644000,success,,none
create-confirm-r2-a1,250,LIST,warmup,2,completed,250,3161750,success,,none
create-confirm-r2-a1,250,LIST,warmup,3,completed,250,3345208,success,,none
create-confirm-r2-a1,250,LIST,warmup,4,completed,250,2867708,success,,none
create-confirm-r2-a1,250,LIST,measure,0,completed,250,2655875,success,,none
create-confirm-r2-a1,250,LIST,measure,1,completed,250,3753292,success,,none
create-confirm-r2-a1,250,LIST,measure,2,completed,250,2813917,success,,none
create-confirm-r2-a1,250,LIST,measure,3,completed,250,4204500,success,,none
create-confirm-r2-a1,250,LIST,measure,4,completed,250,2692750,success,,none
create-confirm-r2-a1,250,LIST,measure,5,completed,250,2854584,success,,none
create-confirm-r2-a1,250,LIST,measure,6,completed,250,2645750,success,,none
create-confirm-r2-a1,250,LIST,measure,7,completed,250,2660458,success,,none
create-confirm-r2-a1,250,LIST,measure,8,completed,250,2403333,success,,none
create-confirm-r2-a1,250,LIST,measure,9,completed,250,2568833,success,,none
create-confirm-r2-a1,250,LIST,measure,10,completed,250,2520000,success,,none
create-confirm-r2-a1,250,LIST,measure,11,completed,250,2485958,success,,none
create-confirm-r2-a1,250,LIST,measure,12,completed,250,2741333,success,,none
create-confirm-r2-a1,250,LIST,measure,13,completed,250,2649584,success,,none
create-confirm-r2-a1,250,LIST,measure,14,completed,250,2634750,success,,none
create-confirm-r2-a1,250,LIST,measure,15,completed,250,2691459,success,,none
