run_id,size,operation,phase,sample,status,page_count_before,duration_ns,outcome,detail,arm
create-guard-b0,250,LINK,warmup,0,completed,250,8492500,success,,none
create-guard-b0,250,LINK,warmup,1,completed,250,1023250,success,,none
create-guard-b0,250,LINK,warmup,2,completed,250,794458,success,,none
create-guard-b0,250,LINK,warmup,3,completed,250,1203125,success,,none
create-guard-b0,250,LINK,warmup,4,completed,250,1076583,success,,none
create-guard-b0,250,LINK,measure,0,completed,250,803792,success,,none
create-guard-b0,250,LINK,measure,1,completed,250,674750,success,,none
create-guard-b0,250,LINK,measure,2,completed,250,636583,success,,none
create-guard-b0,250,LINK,measure,3,completed,250,612584,success,,none
create-guard-b0,250,LINK,measure,4,completed,250,605334,success,,none
create-guard-b0,250,LINK,measure,5,completed,250,647000,success,,none
create-guard-b0,250,LINK,measure,6,completed,250,581875,success,,none
create-guard-b0,250,LINK,measure,7,completed,250,715958,success,,none
create-guard-b0,250,LINK,measure,8,completed,250,707083,success,,none
create-guard-b0,250,LINK,measure,9,completed,250,638875,success,,none
create-guard-b0,250,LINK,measure,10,completed,250,600709,success,,none
create-guard-b0,250,LINK,measure,11,completed,250,600834,success,,none
create-guard-b0,250,LINK,measure,12,completed,250,593792,success,,none
create-guard-b0,250,LINK,measure,13,completed,250,578750,success,,none
create-guard-b0,250,LINK,measure,14,completed,250,670292,success,,none
create-guard-b0,250,LINK,measure,15,completed,250,530041,success,,none
create-guard-b0,250,LINK,measure,16,completed,250,657250,success,,none
create-guard-b0,250,LINK,measure,17,completed,250,573875,success,,none
create-guard-b0,250,LINK,measure,18,completed,250,517959,success,,none
create-guard-b0,250,LINK,measure,19,completed,250,511958,success,,none
create-guard-b0,250,LIST,warmup,0,completed,250,4091208,success,,none
create-guard-b0,250,LIST,warmup,1,completed,250,2818625,success,,none
create-guard-b0,250,LIST,warmup,2,completed,250,2639208,success,,none
create-guard-b0,250,LIST,warmup,3,completed,250,2848292,success,,none
create-guard-b0,250,LIST,warmup,4,completed,250,2741875,success,,none
create-guard-b0,250,LIST,measure,0,completed,250,2819375,success,,none
create-guard-b0,250,LIST,measure,1,completed,250,2368667,success,,none
create-guard-b0,250,LIST,measure,2,completed,250,2242792,success,,none
create-guard-b0,250,LIST,measure,3,completed,250,2256416,success,,none
create-guard-b0,250,LIST,measure,4,completed,250,2156084,success,,none
create-guard-b0,250,LIST,measure,5,completed,250,2510333,success,,none
create-guard-b0,250,LIST,measure,6,completed,250,2591042,success,,none
create-guard-b0,250,LIST,measure,7,completed,250,2330167,success,,none
create-guard-b0,250,LIST,measure,8,completed,250,2166584,success,,none
create-guard-b0,250,LIST,measure,9,completed,250,2541708,success,,none
create-guard-b0,250,LIST,measure,10,completed,250,2329000,success,,none
create-guard-b0,250,LIST,measure,11,completed,250,2172375,success,,none
create-guard-b0,250,LIST,measure,12,completed,250,2236291,success,,none
create-guard-b0,250,LIST,measure,13,completed,250,2282500,success,,none
create-guard-b0,250,LIST,measure,14,completed,250,2336709,success,,none
create-guard-b0,250,LIST,measure,15,completed,250,2358750,success,,none
create-guard-b0,250,LIST,measure,16,completed,250,2339666,success,,none
create-guard-b0,250,LIST,measure,17,completed,250,2878750,success,,none
create-guard-b0,250,LIST,measure,18,completed,250,2531792,success,,none
create-guard-b0,250,LIST,measure,19,completed,250,2530750,success,,none
create-guard-b0,250,SAVE,warmup,0,completed,250,13561500,success,,none
create-guard-b0,250,SAVE,warmup,1,completed,250,7529750,success,,none
create-guard-b0,250,SAVE,warmup,2,completed,250,7437209,success,,none
create-guard-b0,250,SAVE,warmup,3,completed,250,7591750,success,,none
create-guard-b0,250,SAVE,warmup,4,completed,250,12115542,success,,none
create-guard-b0,250,SAVE,measure,0,completed,250,15638875,success,,none
create-guard-b0,250,SAVE,measure,1,completed,250,6439541,success,,none
create-guard-b0,250,SAVE,measure,2,completed,250,6160167,success,,none
create-guard-b0,250,SAVE,measure,3,completed,250,6499958,success,,none
create-guard-b0,250,SAVE,measure,4,completed,250,5642750,success,,none
create-guard-b0,250,SAVE,measure,5,completed,250,5549291,success,,none
create-guard-b0,250,SAVE,measure,6,completed,250,6116333,success,,none
create-guard-b0,250,SAVE,measure,7,completed,250,5638292,success,,none
create-guard-b0,250,SAVE,measure,8,completed,250,5715583,success,,none
create-guard-b0,250,SAVE,measure,9,completed,250,5792666,success,,none
create-guard-b0,250,SAVE,measure,10,completed,250,5700333,success,,none
create-guard-b0,250,SAVE,measure,11,completed,250,5875917,success,,none
create-guard-b0,250,SAVE,measure,12,completed,250,6083666,success,,none
create-guard-b0,250,SAVE,measure,13,completed,250,6141000,success,,none
create-guard-b0,250,SAVE,measure,14,completed,250,6705042,success,,none
create-guard-b0,250,SAVE,measure,15,completed,250,6605083,success,,none
create-guard-b0,250,SAVE,measure,16,completed,250,5591542,success,,none
create-guard-b0,250,SAVE,measure,17,completed,250,6045625,success,,none
create-guard-b0,250,SAVE,measure,18,completed,250,6126583,success,,none
create-guard-b0,250,SAVE,measure,19,completed,250,6085833,success,,none
create-guard-b0,250,CREATE,warmup,0,completed,250,477892166,success,,none
create-guard-b0,250,CREATE,warmup,1,completed,251,397533750,success,,none
create-guard-b0,250,CREATE,measure,0,completed,252,404737666,success,,none
create-guard-b0,250,CREATE,measure,1,completed,253,388723375,success,,none
create-guard-b0,250,CREATE,measure,2,completed,254,387904625,success,,none
create-guard-b0,250,CREATE,measure,3,completed,255,386263334,success,,none
create-guard-b0,250,CREATE,measure,4,completed,256,376742833,success,,none
create-guard-b0,1000,LINK,warmup,0,completed,1000,2262666,success,,none
create-guard-b0,1000,LINK,warmup,1,completed,1000,1359417,success,,none
create-guard-b0,1000,LINK,warmup,2,completed,1000,1161750,success,,none
create-guard-b0,1000,LINK,warmup,3,completed,1000,1108042,success,,none
create-guard-b0,1000,LINK,warmup,4,completed,1000,1142084,success,,none
create-guard-b0,1000,LINK,measure,0,completed,1000,1079459,success,,none
create-guard-b0,1000,LINK,measure,1,completed,1000,1049666,success,,none
create-guard-b0,1000,LINK,measure,2,completed,1000,1070250,success,,none
create-guard-b0,1000,LINK,measure,3,completed,1000,1081583,success,,none
create-guard-b0,1000,LINK,measure,4,completed,1000,962708,success,,none
create-guard-b0,1000,LINK,measure,5,completed,1000,848916,success,,none
create-guard-b0,1000,LINK,measure,6,completed,1000,840542,success,,none
create-guard-b0,1000,LINK,measure,7,completed,1000,827666,success,,none
create-guard-b0,1000,LINK,measure,8,completed,1000,814917,success,,none
create-guard-b0,1000,LINK,measure,9,completed,1000,1293208,success,,none
create-guard-b0,1000,LINK,measure,10,completed,1000,1091667,success,,none
create-guard-b0,1000,LINK,measure,11,completed,1000,976208,success,,none
create-guard-b0,1000,LINK,measure,12,completed,1000,903958,success,,none
create-guard-b0,1000,LINK,measure,13,completed,1000,2430583,success,,none
create-guard-b0,1000,LINK,measure,14,completed,1000,1225167,success,,none
create-guard-b0,1000,LINK,measure,15,completed,1000,973708,success,,none
create-guard-b0,1000,LINK,measure,16,completed,1000,893083,success,,none
create-guard-b0,1000,LINK,measure,17,completed,1000,850458,success,,none
create-guard-b0,1000,LINK,measure,18,completed,1000,803375,success,,none
create-guard-b0,1000,LINK,measure,19,completed,1000,825833,success,,none
create-guard-b0,1000,LIST,warmup,0,completed,1000,9214167,success,,none
create-guard-b0,1000,LIST,warmup,1,completed,1000,8963458,success,,none
create-guard-b0,1000,LIST,warmup,2,completed,1000,9345083,success,,none
