# run_id=run-20260804-184840Z
# base_commit=d11307c3ac14f35cf0a9f889dd794e3f30d74788
# base_commit_kind=observed_runtime_head
# probe_sha256=8f6cc7103119077f907f57026057f40ccb704ffbfececb2e4d6975809d6faae5
# registration_invocations=deferred_until_close
# duplicate_header_key_policy=last_occurrence_wins
# phase_enumeration=warmup|measured|calibration (deviation from plan:1395, calibration row must not aggregate as measured)
# void_rows_supersede_per_row_validity=true
# utc_date=2026-08-04T18:48:52.949867Z
# busy_timeout_ms=3000
# output_gate_only=OFF
# effective_log_level=INFO
# repo_logger_warn_enabled=true
# latch_handoff_l_ns=8667
# machine=mini.local
# os_version=Mac OS X 26.5.2
# cpu_model=Apple M4 Pro
# mem_gb=24.0
# jvm_version=21.0.11+10-LTS
# gradle_version=9.6.1
# active_n_set=1000,140000,160000
# active_holders=H2-full
# scheduler=round_robin_one_measured_trial_per_cell_per_round
# validity=contender_group_gated_by_holder_valid_with_separate_replenishment
# uniform_cut_ms=7200000
# seed_uniform_cut_threshold_ms=600000
# seed_uniform_cut=false
# uniform_cut_boundary=not_reached
# byte_gate_trial_denominator=1_H3a_N1000_WARN_trial
# byte_gate_n_scaling_assumption=warn_bytes_scale_linearly_with_N_over_1000
# byte_gate_projected_gate_trial_equivalents=6258
# byte_gate_projected_gate_trial_equivalents_derivation=3528+1414+1313+3=6258
# c2_refused_spotcheck_discriminator=p_1_H2_p_equals_k_H3a
# seed_wallclock_s_1000=0.787861083
# seed_outer_txn_count_1000=1
# seed_file_bytes_1000=503808
# seed_wallclock_s_140000=5.330856209
# seed_outer_txn_count_140000=1
# seed_file_bytes_140000=43577344
# seed_wallclock_s_160000=5.690286584
# seed_outer_txn_count_160000=1
# seed_file_bytes_160000=49786880
run_id,holder,n,k,p,contender,trial,phase,hold_start_ns,hold_end_ns,hold_ms,contender_begin_issue_ns,contender_begin_return_ns,contender_outcome,contender_arm,contender_statements,overlap_verified,completeness_verified,precondition_verified,statements_in_hold,freshness_reads,excluded_reason
run-20260804-184840Z,CAL-LONG-HOLD,1000,0,0,C1,1,calibration,2894126198820916,2894134221424375,8022.603459,2894126198859916,2894129443553250,busy,write,0,true,true,true,1744478,0,
run-20260804-184840Z,H2-full,1000,1000,4,C1,1,warmup,2894134245221875,2894134271007166,25.785291,2894134245251708,2894134270025250,bound,write,6,false,true,true,5004,4,
run-20260804-184840Z,H2-full,140000,140000,4,C1,1,warmup,2894134291055166,2894137103997416,2812.94225,2894134291078791,2894137159464541,bound,write,6,false,true,true,700004,4,
run-20260804-184840Z,H2-full,160000,160000,4,C1,1,warmup,2894137185706625,2894140400322500,3214.615875,2894137185724541,2894140439295458,bound,write,6,false,true,true,800004,4,
run-20260804-184840Z,H2-full,1000,1000,4,C1,2,warmup,2894140448008625,2894140468464791,20.456166,2894140448107291,2894140471882583,bound,write,6,false,true,true,5004,4,
run-20260804-184840Z,H2-full,140000,140000,4,C1,2,warmup,2894140485186083,2894143295817083,2810.631,2894140485202208,2894143340847833,bound,write,6,false,true,true,700004,4,
run-20260804-184840Z,H2-full,160000,160000,4,C1,2,warmup,2894143356813458,2894146561637375,3204.823917,2894143356833125,2894146593132458,bound,write,6,false,true,true,800004,4,
run-20260804-184840Z,H2-full,1000,1000,4,C1,1,measured,2894146647312916,2894146667241583,19.928667,2894146647330708,2894146671729291,bound,write,6,false,true,true,5004,4,
run-20260804-184840Z,H2-full,140000,140000,4,C1,1,measured,2894146685411958,2894149496962791,2811.550833,2894146685423458,2894149567771166,bound,write,6,false,true,true,700004,4,
run-20260804-184840Z,H2-full,160000,160000,4,C1,1,measured,2894149583708541,2894152806148958,3222.440417,2894149583724666,2894152847190583,bound,write,6,false,true,true,800004,4,
run-20260804-184840Z,H2-full,1000,1000,4,C1,2,measured,2894152852008125,2894152872001541,19.993416,2894152852023041,2894152879215833,bound,write,6,false,true,true,5004,4,
run-20260804-184840Z,H2-full,140000,140000,4,C1,2,measured,2894152892228791,2894155705666500,2813.437709,2894152892240000,2894155734937375,bound,write,6,false,true,true,700004,4,
run-20260804-184840Z,H2-full,160000,160000,4,C1,2,measured,2894155750620541,2894158943930083,3193.309542,2894155750637916,2894158948997833,bound,write,6,false,true,true,800004,4,
run-20260804-184840Z,H2-full,1000,1000,4,C1,3,measured,2894158953843000,2894158973958458,20.115458,2894158953860250,2894158978001958,bound,write,6,false,true,true,5004,4,
run-20260804-184840Z,H2-full,140000,140000,4,C1,3,measured,2894158991326208,2894161862356208,2871.03,2894158991338125,2894161961617750,bound,write,6,false,true,true,700004,4,
