# run_id=run-20260804-185117Z
# base_commit=d11307c3ac14f35cf0a9f889dd794e3f30d74788
# base_commit_kind=observed_runtime_head
# probe_sha256=10385a6017ff74416e19284b6113ce1775007d4b8a9d0356b5b8ef0250ffd76c
# registration_invocations=deferred_until_close
# duplicate_header_key_policy=last_occurrence_wins
# phase_enumeration=warmup|measured|calibration (deviation from plan:1395, calibration row must not aggregate as measured)
# void_rows_supersede_per_row_validity=true
# utc_date=2026-08-04T18:51:30.812963Z
# busy_timeout_ms=3000
# output_gate_only=OFF
# effective_log_level=INFO
# repo_logger_warn_enabled=true
# latch_handoff_l_ns=8667
# machine=mini.local
# os_version=Mac OS X 26.5.2
# cpu_model=Apple M4 Pro
# mem_gb=24.0
# jvm_version=21.0.11+10-LTS
# gradle_version=9.6.1
# active_n_set=1000,150000,180000
# active_holders=H2-full
# scheduler=round_robin_one_measured_trial_per_cell_per_round
# validity=contender_group_gated_by_holder_valid_with_separate_replenishment
# uniform_cut_ms=7200000
# seed_uniform_cut_threshold_ms=600000
# seed_uniform_cut=false
# uniform_cut_boundary=not_reached
# byte_gate_trial_denominator=1_H3a_N1000_WARN_trial
# byte_gate_n_scaling_assumption=warn_bytes_scale_linearly_with_N_over_1000
# byte_gate_projected_gate_trial_equivalents=6258
# byte_gate_projected_gate_trial_equivalents_derivation=3528+1414+1313+3=6258
# c2_refused_spotcheck_discriminator=p_1_H2_p_equals_k_H3a
# seed_wallclock_s_1000=0.791572292
# seed_outer_txn_count_1000=1
# seed_file_bytes_1000=503808
# seed_wallclock_s_150000=5.69941275
# seed_outer_txn_count_150000=1
# seed_file_bytes_150000=46665728
# seed_wallclock_s_180000=6.423663833
# seed_outer_txn_count_180000=1
# seed_file_bytes_180000=55996416
run_id,holder,n,k,p,contender,trial,phase,hold_start_ns,hold_end_ns,hold_ms,contender_begin_issue_ns,contender_begin_return_ns,contender_outcome,contender_arm,contender_statements,overlap_verified,completeness_verified,precondition_verified,statements_in_hold,freshness_reads,excluded_reason
run-20260804-185117Z,CAL-LONG-HOLD,1000,0,0,C1,1,calibration,2894284068304541,2894292094566750,8026.262209,2894284068337625,2894287338253625,busy,write,0,true,true,true,1732632,0,
run-20260804-185117Z,H2-full,1000,1000,4,C1,1,warmup,2894292123415750,2894292150293500,26.87775,2894292123445166,2894292150767291,bound,write,6,false,true,true,5004,4,
run-20260804-185117Z,H2-full,150000,150000,4,C1,1,warmup,2894292173377291,2894295224776375,3051.399084,2894292173398000,2894295266588583,bound,write,6,false,true,true,750004,4,
run-20260804-185117Z,H2-full,180000,180000,4,C1,1,warmup,2894295297234875,2894298927627583,3630.392708,2894295297257291,2894298575035458,busy,write,0,true,true,true,900004,4,
run-20260804-185117Z,H2-full,1000,1000,4,C1,2,warmup,2894298933206583,2894298952990958,19.784375,2894298933221541,2894298960414166,bound,write,6,false,true,true,5004,4,
run-20260804-185117Z,H2-full,150000,150000,4,C1,2,warmup,2894298975266750,2894302018178458,3042.911708,2894298975278375,2894302047972916,bound,write,6,false,true,true,750004,4,
run-20260804-185117Z,H2-full,180000,180000,4,C1,2,warmup,2894302065594833,2894305687847375,3622.252542,2894302065612083,2894305335595208,busy,write,0,true,true,true,900004,4,
run-20260804-185117Z,H2-full,1000,1000,4,C1,1,measured,2894305815074833,2894305835194833,20.12,2894305815092583,2894305842231708,bound,write,6,false,true,true,5004,4,
run-20260804-185117Z,H2-full,150000,150000,4,C1,1,measured,2894305857376041,2894308883763666,3026.387625,2894305857436500,2894308966421541,bound,write,6,false,true,true,750004,4,
run-20260804-185117Z,H2-full,180000,180000,4,C1,1,measured,2894308984281750,2894312614525750,3630.244,2894308984295625,2894312244549250,busy,write,0,true,true,true,900004,4,
run-20260804-185117Z,H2-full,1000,1000,4,C1,2,measured,2894312744710250,2894312765253833,20.543583,2894312744736375,2894312771901791,bound,write,6,false,true,true,5004,4,
