# run_id=run-20260801-221834Z
# base_commit=37b3d528ff98e1e6ba08f6969c0518759fcda631
# base_commit_kind=observed_runtime_head
# probe_sha256=ededf37e7d29631e1f4d80a055bbde1c091fa6c6490b3ee1feb8e0dfa1f4c029
# registration_invocations=deferred_until_close
# duplicate_header_key_policy=last_occurrence_wins
# phase_enumeration=warmup|measured|calibration (deviation from plan:1395, calibration row must not aggregate as measured)
# void_rows_supersede_per_row_validity=true
# utc_date=2026-08-01T22:18:40.340111Z
# busy_timeout_ms=3000
# output_gate_only=OFF
# effective_log_level=INFO
# repo_logger_warn_enabled=true
# quiet_run_log_level=ERROR
# latch_handoff_l_ns=8667
# machine=mini.local
# os_version=Mac OS X 26.5.2
# cpu_model=Apple M4 Pro
# mem_gb=24.0
# jvm_version=21.0.11+10-LTS
# gradle_version=9.6.1
# active_n_set=1000,5000,20000,100000
# active_holders=H1,H2,H3a,H3b,H4
# scheduler=round_robin_one_measured_trial_per_cell_per_round
# validity=contender_group_gated_by_holder_valid_with_separate_replenishment
# uniform_cut_ms=7200000
# seed_uniform_cut_threshold_ms=600000
# seed_uniform_cut=false
# uniform_cut_boundary=not_reached
# byte_gate_trial_denominator=1_H3a_N1000_WARN_trial
# byte_gate_n_scaling_assumption=warn_bytes_scale_linearly_with_N_over_1000
# byte_gate_projected_gate_trial_equivalents=6258
# byte_gate_projected_gate_trial_equivalents_derivation=3528+1414+1313+3=6258
# c2_refused_spotcheck_discriminator=p_1_H2_p_equals_k_H3a
# seed_wallclock_s_1000=0.699864916
# seed_outer_txn_count_1000=1
# seed_file_bytes_1000=503808
# seed_wallclock_s_5000=0.342372083
# seed_outer_txn_count_5000=1
# seed_file_bytes_5000=1699840
# seed_wallclock_s_20000=0.869051417
# seed_outer_txn_count_20000=1
# seed_file_bytes_20000=6311936
# seed_wallclock_s_100000=3.549818334
# seed_outer_txn_count_100000=1
# seed_file_bytes_100000=31145984
run_id,holder,n,k,p,contender,trial,phase,hold_start_ns,hold_end_ns,hold_ms,contender_begin_issue_ns,contender_begin_return_ns,contender_outcome,contender_arm,contender_statements,overlap_verified,completeness_verified,precondition_verified,statements_in_hold,freshness_reads,excluded_reason
run-20260801-221834Z,CAL-LONG-HOLD,1000,0,0,C1,1,calibration,2647513261851625,2647521265450000,8003.598375,2647513261888750,2647516530413666,busy,write,0,true,true,true,1759418,0,
run-20260801-221834Z,H1-DEFERRED,1000,1000,0,NONE,1,warmup,2647521284699083,2647521289995458,5.296375,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,1000,1000,0,NONE,1,warmup,2647521293736291,2647521299112041,5.37575,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-DEFERRED,100000,100000,0,NONE,1,warmup,2647521406330833,2647521825081916,418.751083,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,100000,100000,0,NONE,1,warmup,2647521926617875,2647522340921750,414.303875,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-DEFERRED,1000,1000,0,NONE,2,warmup,2647522344729916,2647522349079791,4.349875,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,1000,1000,0,NONE,2,warmup,2647522351849791,2647522356158625,4.308834,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-DEFERRED,100000,100000,0,NONE,2,warmup,2647522461174708,2647522862717083,401.542375,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,100000,100000,0,NONE,2,warmup,2647522956752750,2647523364375416,407.622666,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-DEFERRED,1000,1000,0,NONE,1,measured,2647523368124208,2647523373563166,5.438958,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,1000,1000,0,NONE,1,measured,2647523376341791,2647523380986666,4.644875,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-DEFERRED,100000,100000,0,NONE,1,measured,2647523472204458,2647523884442250,412.237792,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,100000,100000,0,NONE,1,measured,2647523977919666,2647524390279458,412.359792,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-DEFERRED,1000,1000,0,NONE,2,measured,2647524393879625,2647524398444708,4.565083,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,1000,1000,0,NONE,2,measured,2647524400832250,2647524405174041,4.341791,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-DEFERRED,100000,100000,0,NONE,2,measured,2647524499625750,2647524913319083,413.693333,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,100000,100000,0,NONE,2,measured,2647525009988916,2647525426926750,416.937834,,,none,none,0,false,true,true,100001,0,
run-20260801-221834Z,H1-DEFERRED,1000,1000,0,NONE,3,measured,2647525430546000,2647525434839666,4.293666,,,none,none,0,false,true,true,1001,0,
run-20260801-221834Z,H1-IMMEDIATE-CTL,1000,1000,0,NONE,3,measured,2647525437057958,2647525441294958,4.237,,,none,none,0,false,true,true,1001,0,
